GEO_ID,state,county,year,Median Annual Household Income,Median Monthly Housing Costs,Median Value for Owner Occupied Housing Units,Percent White Collar,Percent College Graduate,geo11
1400000US17031804809,Illinois,Cook County,2018,99643,1563,285600,0.46332894158981114,0.5492772667542707,17031804809
1400000US17031819801,Illinois,Cook County,2018,162765,2460,612400,0.6841092727972297,0.8643230679837304,17031819801
1400000US17031820502,Illinois,Cook County,2018,52894,1074,193300,0.29615004935834155,0.2570898489265836,17031820502
1400000US17031820901,Illinois,Cook County,2018,54625,996,171400,0.14810472840953498,0.20326117514759628,17031820901
1400000US17031822000,Illinois,Cook County,2018,49359,1043,113100,0.22244389027431422,0.23427991886409735,17031822000
1400000US17031822601,Illinois,Cook County,2018,77500,1316,202500,0.3674293405114401,0.3563928350833848,17031822601
1400000US17031822702,Illinois,Cook County,2018,52963,1020,194500,0.38202247191011235,0.36105713175281773,17031822702
1400000US17031824400,Illinois,Cook County,2018,31694,858,180400,0.25647668393782386,0.18292682926829268,17031824400
1400000US17031824602,Illinois,Cook County,2018,61461,1162,160200,0.37475915221579964,0.3877502944640754,17031824602
1400000US17031825802,Illinois,Cook County,2018,44242,1395,145900,0.22071563088512242,0.2796060533269277,17031825802
1400000US17031827600,Illinois,Cook County,2018,37500,959,86500,0.300561797752809,0.2612137203166227,17031827600
1400000US17031827805,Illinois,Cook County,2018,63750,1452,161000,0.3680727874276261,0.3501786625829505,17031827805
1400000US17031828201,Illinois,Cook County,2018,53343,1114,129600,0.3929860752965446,0.36826676438255773,17031828201
1400000US17031809600,Illinois,Cook County,2018,90625,1629,336400,0.45959922430510664,0.5677513355998057,17031809600
1400000US17031810400,Illinois,Cook County,2018,105598,1864,404500,0.5594020456333596,0.6299404439631835,17031810400
1400000US17031810600,Illinois,Cook County,2018,54525,1014,257300,0.4031587697423109,0.4287020109689214,17031810600
1400000US17031810900,Illinois,Cook County,2018,52871,1208,229600,0.30095958127362604,0.2903765690376569,17031810900
1400000US17031811301,Illinois,Cook County,2018,66655,1312,177200,0.2040636042402827,0.21307742355237475,17031811301
1400000US17031811302,Illinois,Cook County,2018,40511,990,171900,0.08997050147492626,0.15649027589326098,17031811302
1400000US17031812100,Illinois,Cook County,2018,125590,2139,367100,0.7171350861287398,0.7611420612813371,17031812100
1400000US17031813500,Illinois,Cook County,2018,55168,1007,169800,0.0979020979020979,0.15527506549178377,17031813500
1400000US17031813600,Illinois,Cook County,2018,51086,953,157000,0.14012738853503184,0.14545454545454545,17031813600
1400000US17031818200,Illinois,Cook County,2018,70790,1558,199300,0.40223695111847557,0.44891640866873067,17031818200
1400000US17031818900,Illinois,Cook County,2018,77711,1237,310800,0.462432915921288,0.55942301661963,17031818900
1400000US17031280400,Illinois,Cook County,2018,36698,1202,408700,0.3114754098360656,0.29285714285714287,17031280400
1400000US17031292200,Illinois,Cook County,2018,32237,1096,132200,0.2527743526510481,0.23017902813299232,17031292200
1400000US17031300500,Illinois,Cook County,2018,38113,860,166400,0.0712661106899166,0.14170258620689655,17031300500
1400000US17031300600,Illinois,Cook County,2018,44492,880,157200,0.26327769347496205,0.21343669250645994,17031300600
1400000US17031310700,Illinois,Cook County,2018,44391,871,224300,0.29770992366412213,0.25806451612903225,17031310700
1400000US17031823901,Illinois,Cook County,2018,84116,1688,349900,0.4809711286089239,0.5268703898840885,17031823901
1400000US17031824601,Illinois,Cook County,2018,75442,1355,172000,0.3052,0.3018751921303412,17031824601
1400000US17031824702,Illinois,Cook County,2018,52978,1113,130600,0.1344733773804897,0.2547966231772832,17031824702
1400000US17031200200,Illinois,Cook County,2018,44077,1113,281400,0.192780642602142,0.1913016073116924,17031200200
1400000US17031221400,Illinois,Cook County,2018,78972,1617,361200,0.5638297872340425,0.6121076233183856,17031221400
1400000US17031230300,Illinois,Cook County,2018,39653,969,265900,0.2552204176334107,0.15,17031230300
1400000US17031230900,Illinois,Cook County,2018,43438,1123,239800,0.25541861453463666,0.3577111383108935,17031230900
1400000US17031231100,Illinois,Cook County,2018,32895,1003,166200,0.15428571428571428,0.17592592592592593,17031231100
1400000US17031240600,Illinois,Cook County,2018,105938,1910,457900,0.6013779527559056,0.7419354838709677,17031240600
1400000US17031243400,Illinois,Cook County,2018,95764,1778,367200,0.6372972972972973,0.6458715596330276,17031243400
1400000US17031250200,Illinois,Cook County,2018,46250,1199,189100,0.26900584795321636,0.20081490104772992,17031250200
1400000US17031250700,Illinois,Cook County,2018,40349,1079,172500,0.23536536132418248,0.24115206248474494,17031250700
1400000US17031251300,Illinois,Cook County,2018,29917,1017,147800,0.22435897435897437,0.13778558875219685,17031251300
1400000US17031282700,Illinois,Cook County,2018,80313,1405,211700,0.5434380776340111,0.4468371467025572,17031282700
1400000US17031031400,Illinois,Cook County,2018,69590,1263,208600,0.6610687022900763,0.8165095424235457,17031031400
1400000US17031080202,Illinois,Cook County,2018,83806,1551,286800,0.7371134020618557,0.9046781568765389,17031080202
1400000US17031081201,Illinois,Cook County,2018,98186,1993,788200,0.7250463821892393,0.8724503671471309,17031081201
1400000US17031081202,Illinois,Cook County,2018,133079,2252,630900,0.6823671497584541,0.8283470456245325,17031081202
1400000US17031081401,Illinois,Cook County,2018,67313,2105,703700,0.7353154459753445,0.7554671968190855,17031081401
1400000US17031081402,Illinois,Cook County,2018,111970,2301,492900,0.7455108359133127,0.9120586275816123,17031081402
1400000US17031081403,Illinois,Cook County,2018,121318,2192,559600,0.7247784594410361,0.8953196515576554,17031081403
1400000US17031110501,Illinois,Cook County,2018,86512,1522,315900,0.37082481254260397,0.46595798532017213,17031110501
1400000US17031110502,Illinois,Cook County,2018,59875,1301,223200,0.30124521072796934,0.44888408927285817,17031110502
1400000US17031430101,Illinois,Cook County,2018,29750,953,144800,0.24465733235077378,0.2719966159052453,17031430101
1400000US17031430102,Illinois,Cook County,2018,23740,751,-666666666,0.25826446280991733,0.401414309484193,17031430102
1400000US17031431301,Illinois,Cook County,2018,21933,898,117700,0.15275590551181104,0.23625349487418454,17031431301
1400000US17031431302,Illinois,Cook County,2018,31377,949,234500,0.2265880812049771,0.24315975286849073,17031431302
1400000US17031440101,Illinois,Cook County,2018,21856,832,153100,0.07748344370860927,0.16357903035080804,17031440101
1400000US17031440102,Illinois,Cook County,2018,28393,878,153300,0.22533418204964992,0.15546410608139002,17031440102
